company_name,company_web_address
New Waves Games,https://store.steampowered.com/developer/New%20Waves%20Games&snr=1_5_9__2000
Softwaves,https://store.steampowered.com/developer/Softwaves&snr=1_5_9__2000
Budget Versailles Games,https://store.steampowered.com/developer/Budget%20Versailles%20Games&snr=1_5_9__2000
Finches Games,https://store.steampowered.com/developer/Finches%20Games&snr=1_5_9__2000
Team Dogpit,https://store.steampowered.com/developer/Team%20Dogpit&snr=1_5_9__2000
Mutkrakt,https://store.steampowered.com/curator/38828678?snr=1_5_9__2000
Aspyr (Mac),https://store.steampowered.com/developer/Aspyr?snr=1_5_9__2000
Aspyr (Linux),https://store.steampowered.com/developer/Aspyr?snr=1_5_9__2000
Andrew G. Schneider,https://store.steampowered.com/curator/34957144?snr=1_5_9__2000
Totem Studio,https://store.steampowered.com/developer/plug-in-digital?snr=1_5_9__2000
Reborn Games,https://store.steampowered.com/developer/Reborn%20Games&snr=1_5_9__2000
End of the Line Studios,https://store.steampowered.com/developer/Eotls?snr=1_5_9__2000
Dreambakers,https://store.steampowered.com/developer/Dreambakers&snr=1_5_9__2000
Ricardo Alonso Pina,https://store.steampowered.com/developer/ricardoalonso?snr=1_5_9__2000
RETO MOTO,https://store.steampowered.com/developer/RETO%20MOTO&snr=1_5_9__2000
Graviteam,https://store.steampowered.com/developer/graviteam?snr=1_5_9__2000
HQ,https://store.steampowered.com/developer/Slitherine?snr=1_5_9__2000
Triangle Studios,https://store.steampowered.com/developer/Triangle%20Studios&snr=1_5_9__2000
Holy City VR,https://store.steampowered.com/developer/Holy%20City%20VR&snr=1_5_9__2000
Nimrod Shanit,https://store.steampowered.com/developer/Nimrod%20Shanit&snr=1_5_9__2000
Sean Thomas Evans,https://store.steampowered.com/developer/Sean%20Thomas%20Evans&snr=1_5_9__2000
Bartoš Studio,https://store.steampowered.com/developer/Barto%C5%A1%20Studio&snr=1_5_9__2000
Gemlore,https://store.steampowered.com/developer/Gemlore&snr=1_5_9__2000
